architecture,latency_ms
agentic_rag,2209.0
agentic_rag,3277.0
agentic_rag,1765.0
agentic_rag,2122.0
agentic_rag,2148.0
agentic_rag,2047.0
agentic_rag,2171.0
agentic_rag,2642.0
agentic_rag,2214.0
agentic_rag,2695.0
agentic_rag,2252.0
agentic_rag,2253.0
agentic_rag,2047.0
agentic_rag,2045.0
agentic_rag,2253.0
agentic_rag,2103.0
agentic_rag,2605.0
agentic_rag,3209.0
agentic_rag,1806.0
agentic_rag,3101.0
agentic_rag,2835.0
agentic_rag,2149.0
agentic_rag,2661.0
agentic_rag,2561.0
agentic_rag,2076.0
agentic_rag,2834.0
agentic_rag,5222.0
agentic_rag,2558.0
agentic_rag,2061.0
agentic_rag,2150.0
agentic_rag,2456.0
agentic_rag,1842.0
agentic_rag,2195.0
agentic_rag,2207.0
agentic_rag,1845.0
agentic_rag,1839.0
agentic_rag,2167.0
agentic_rag,2335.0
agentic_rag,2456.0
agentic_rag,2383.0
agentic_rag,1914.0
agentic_rag,2253.0
agentic_rag,2213.0
agentic_rag,1674.0
agentic_rag,2131.0
agentic_rag,3479.0
agentic_rag,2047.0
agentic_rag,2547.0
agentic_rag,2058.0
agentic_rag,3547.0
agentic_rag,2456.0
agentic_rag,3799.0
agentic_rag,2396.0
agentic_rag,2540.0
agentic_rag,3175.0
agentic_rag,2455.0
agentic_rag,2559.0
agentic_rag,3480.0
agentic_rag,2443.0
agentic_rag,1785.0
agentic_rag,2117.0
agentic_rag,2764.0
agentic_rag,2150.0
agentic_rag,2715.0
agentic_rag,2709.0
agentic_rag,2251.0
agentic_rag,2200.0
agentic_rag,2582.0
agentic_rag,1972.0
agentic_rag,2459.0
agentic_rag,2147.0
agentic_rag,3583.0
agentic_rag,1943.0
agentic_rag,3791.0
agentic_rag,2863.0
agentic_rag,2353.0
agentic_rag,2114.0
agentic_rag,2412.0
agentic_rag,2330.0
agentic_rag,2357.0
agentic_rag,2352.0
agentic_rag,2260.0
agentic_rag,2753.0
agentic_rag,6676.0
agentic_rag,2537.0
agentic_rag,2380.0
agentic_rag,3660.0
agentic_rag,2531.0
agentic_rag,2320.0
agentic_rag,2520.0
agentic_rag,1944.0
agentic_rag,2540.0
agentic_rag,2270.0
agentic_rag,2500.0
agentic_rag,2618.0
agentic_rag,2558.0
agentic_rag,2661.0
agentic_rag,2663.0
agentic_rag,2967.0
agentic_rag,2353.0
agentic_rag,2663.0
agentic_rag,1943.0
agentic_rag,2764.0
agentic_rag,1956.0
agentic_rag,2506.0
agentic_rag,2395.0
agentic_rag,2204.0
agentic_rag,2605.0
agentic_rag,1842.0
agentic_rag,1842.0
agentic_rag,2489.0
agentic_rag,2321.0
agentic_rag,2251.0
agentic_rag,2355.0
agentic_rag,3282.0
agentic_rag,2451.0
agentic_rag,3127.0
agentic_rag,2075.0
agentic_rag,2575.0
agentic_rag,2252.0
agentic_rag,2356.0
agentic_rag,3398.0
agentic_rag,2125.0
agentic_rag,2353.0
agentic_rag,2868.0
agentic_rag,2967.0
agentic_rag,2456.0
agentic_rag,2268.0
agentic_rag,3463.0
agentic_rag,2766.0
agentic_rag,3375.0
agentic_rag,2764.0
agentic_rag,2716.0
agentic_rag,3528.0
agentic_rag,2783.0
agentic_rag,2836.0
agentic_rag,3457.0
agentic_rag,2492.0
agentic_rag,1637.0
agentic_rag,2967.0
agentic_rag,1989.0
agentic_rag,2080.0
agentic_rag,2788.0
agentic_rag,2209.0
agentic_graph_rag,2145.0
agentic_graph_rag,2083.0
agentic_graph_rag,2664.0
agentic_graph_rag,2016.0
agentic_graph_rag,1934.0
agentic_graph_rag,2558.0
agentic_graph_rag,2116.0
agentic_graph_rag,1979.0
agentic_graph_rag,2151.0
agentic_graph_rag,1757.0
agentic_graph_rag,2321.0
agentic_graph_rag,1577.0
agentic_graph_rag,2119.0
agentic_graph_rag,1468.0
agentic_graph_rag,2318.0
agentic_graph_rag,2508.0
agentic_graph_rag,2519.0
agentic_graph_rag,1420.0
agentic_graph_rag,1535.0
agentic_graph_rag,1842.0
agentic_graph_rag,3480.0
agentic_graph_rag,2149.0
agentic_graph_rag,1985.0
agentic_graph_rag,3132.0
agentic_graph_rag,2481.0
agentic_graph_rag,2369.0
agentic_graph_rag,2537.0
agentic_graph_rag,2183.0
agentic_graph_rag,2302.0
agentic_graph_rag,2483.0
agentic_graph_rag,2123.0
agentic_graph_rag,2046.0
agentic_graph_rag,2149.0
agentic_graph_rag,2976.0
agentic_graph_rag,2758.0
agentic_graph_rag,1834.0
agentic_graph_rag,2053.0
agentic_graph_rag,2252.0
agentic_graph_rag,2560.0
agentic_graph_rag,2250.0
agentic_graph_rag,2252.0
agentic_graph_rag,2661.0
agentic_graph_rag,1638.0
agentic_graph_rag,1638.0
agentic_graph_rag,2454.0
agentic_graph_rag,2150.0
agentic_graph_rag,2126.0
agentic_graph_rag,2479.0
agentic_graph_rag,2320.0
agentic_graph_rag,2183.0
agentic_graph_rag,2291.0
agentic_graph_rag,2118.0
agentic_graph_rag,2244.0
agentic_graph_rag,2250.0
agentic_graph_rag,2150.0
agentic_graph_rag,1455.0
agentic_graph_rag,1819.0
agentic_graph_rag,1637.0
agentic_graph_rag,1672.0
agentic_graph_rag,2323.0
agentic_graph_rag,1940.0
agentic_graph_rag,1739.0
agentic_graph_rag,2275.0
agentic_graph_rag,2637.0
agentic_graph_rag,1841.0
agentic_graph_rag,1944.0
agentic_graph_rag,2057.0
agentic_graph_rag,2447.0
agentic_graph_rag,2148.0
agentic_graph_rag,2149.0
agentic_graph_rag,2457.0
agentic_graph_rag,3685.0
agentic_graph_rag,2149.0
agentic_graph_rag,2252.0
agentic_graph_rag,2557.0
agentic_graph_rag,2048.0
agentic_graph_rag,3892.0
agentic_graph_rag,2147.0
agentic_graph_rag,1654.0
agentic_graph_rag,2134.0
agentic_graph_rag,2833.0
agentic_graph_rag,1872.0
agentic_graph_rag,2559.0
agentic_graph_rag,1620.0
agentic_graph_rag,1897.0
agentic_graph_rag,1804.0
agentic_graph_rag,2456.0
agentic_graph_rag,2150.0
agentic_graph_rag,2342.0
agentic_graph_rag,2161.0
agentic_graph_rag,8702.0
agentic_graph_rag,2252.0
agentic_graph_rag,2148.0
agentic_graph_rag,1637.0
agentic_graph_rag,2662.0
agentic_graph_rag,1835.0
agentic_graph_rag,2464.0
agentic_graph_rag,1946.0
agentic_graph_rag,1903.0
agentic_graph_rag,2188.0
agentic_graph_rag,1723.0
agentic_graph_rag,3479.0
agentic_graph_rag,2559.0
agentic_graph_rag,2254.0
agentic_graph_rag,2249.0
agentic_graph_rag,2554.0
agentic_graph_rag,2710.0
agentic_graph_rag,3243.0
agentic_graph_rag,2173.0
agentic_graph_rag,2112.0
agentic_graph_rag,2632.0
agentic_graph_rag,1870.0
agentic_graph_rag,2366.0
agentic_graph_rag,1450.0
agentic_graph_rag,1969.0
agentic_graph_rag,2432.0
agentic_graph_rag,2457.0
agentic_graph_rag,3247.0
agentic_graph_rag,1768.0
agentic_graph_rag,1944.0
agentic_graph_rag,1740.0
